idindikator;IDTer;nTer;IDTuristi;nTuristi;IDVrPod;nVrPod;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2201IND01;RS22;Регион Јужне и Источне Србије;0;Укупно;2;индекси (2010 = 100);00;2000;107.9;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS22;Регион Јужне и Источне Србије;1;Домаћи;1;број;00;2000;366354;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS22;Регион Јужне и Источне Србије;1;Домаћи;2;индекси (2010 = 100);00;2000;133.5;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS22;Регион Јужне и Источне Србије;2;Страни;1;број;00;2000;13938;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS22;Регион Јужне и Источне Србије;2;Страни;2;индекси (2010 = 100);00;2000;17.8;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS221;Борска област;0;Укупно;1;број;00;2000;69849;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS221;Борска област;0;Укупно;2;индекси (2010 = 100);00;2000;105.1;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS221;Борска област;1;Домаћи;1;број;00;2000;68388;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS221;Борска област;1;Домаћи;2;индекси (2010 = 100);00;2000;116.3;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS221;Борска област;2;Страни;1;број;00;2000;1461;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS221;Борска област;2;Страни;2;индекси (2010 = 100);00;2000;19.1;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS222;Браничевска област;0;Укупно;1;број;00;2000;24262;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS222;Браничевска област;0;Укупно;2;индекси (2010 = 100);00;2000;109.6;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS222;Браничевска област;1;Домаћи;1;број;00;2000;23538;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS222;Браничевска област;1;Домаћи;2;индекси (2010 = 100);00;2000;120.1;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS222;Браничевска област;2;Страни;1;број;00;2000;724;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS222;Браничевска област;2;Страни;2;индекси (2010 = 100);00;2000;28.7;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS223;Зајечарска област;0;Укупно;1;број;00;2000;66346;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS223;Зајечарска област;0;Укупно;2;индекси (2010 = 100);00;2000;93.7;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS223;Зајечарска област;1;Домаћи;1;број;00;2000;65375;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS223;Зајечарска област;1;Домаћи;2;индекси (2010 = 100);00;2000;98.3;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS223;Зајечарска област;2;Страни;1;број;00;2000;971;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS223;Зајечарска област;2;Страни;2;индекси (2010 = 100);00;2000;22.5;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS224;Јабланичка област;0;Укупно;1;број;00;2000;21177;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS224;Јабланичка област;0;Укупно;2;индекси (2010 = 100);00;2000;101.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS224;Јабланичка област;1;Домаћи;1;број;00;2000;19760;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS224;Јабланичка област;1;Домаћи;2;индекси (2010 = 100);00;2000;145.3;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS224;Јабланичка област;2;Страни;1;број;00;2000;1417;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS224;Јабланичка област;2;Страни;2;индекси (2010 = 100);00;2000;19.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS225;Нишавска област;0;Укупно;1;број;00;2000;93250;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS225;Нишавска област;0;Укупно;2;индекси (2010 = 100);00;2000;102.7;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS225;Нишавска област;1;Домаћи;1;број;00;2000;89396;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS225;Нишавска област;1;Домаћи;2;индекси (2010 = 100);00;2000;166.9;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS225;Нишавска област;2;Страни;1;број;00;2000;3854;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS225;Нишавска област;2;Страни;2;индекси (2010 = 100);00;2000;10.4;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS226;Пиротска област;0;Укупно;1;број;00;2000;15232;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS226;Пиротска област;0;Укупно;2;индекси (2010 = 100);00;2000;184.3;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS226;Пиротска област;1;Домаћи;1;број;00;2000;13423;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS226;Пиротска област;1;Домаћи;2;индекси (2010 = 100);00;2000;236.5;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS226;Пиротска област;2;Страни;1;број;00;2000;1809;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS226;Пиротска област;2;Страни;2;индекси (2010 = 100);00;2000;69.8;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS227;Подунавска област;0;Укупно;1;број;00;2000;34532;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS227;Подунавска област;0;Укупно;2;индекси (2010 = 100);00;2000;136;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS227;Подунавска област;1;Домаћи;1;број;00;2000;32981;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS227;Подунавска област;1;Домаћи;2;индекси (2010 = 100);00;2000;220.5;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS227;Подунавска област;2;Страни;1;број;00;2000;1551;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS227;Подунавска област;2;Страни;2;индекси (2010 = 100);00;2000;14.9;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
